target,geography,seed_table,importance,control_field,expression
ENGY_elec_hi,REGION,persons,10000,ENGY_elec_hi,"persons.split_industry == ""ENGY_elec_hi"""
GOV_admn_gov,REGION,persons,10000,GOV_admn_gov,"persons.split_industry == ""GOV_admn_gov"""
HOSP_acc_acc,REGION,persons,10000,HOSP_acc_acc,"persons.split_industry == ""HOSP_acc_acc"""
HLTH_hosp_hosp,REGION,persons,10000,HLTH_hosp_hosp,"persons.split_industry == ""HLTH_hosp_hosp"""
RES_agmin_ag,REGION,persons,10000,RES_agmin_ag,"persons.split_industry == ""RES_agmin_ag"""
ENGY_ptrl_hi,REGION,persons,10000,ENGY_ptrl_hi,"persons.split_industry == ""ENGY_ptrl_hi"""
RET_stor_off,REGION,persons,10000,RET_stor_off,"persons.split_industry == ""RET_stor_off"""
SERV_stor_ret,REGION,persons,10000,SERV_stor_ret,"persons.split_industry == ""SERV_stor_ret"""
RES_forst_log,REGION,persons,10000,RES_forst_log,"persons.split_industry == ""RES_forst_log"""
RET_nstor_off,REGION,persons,10000,RET_nstor_off,"persons.split_industry == ""RET_nstor_off"""
ENGY_offc_off,REGION,persons,10000,ENGY_offc_off,"persons.split_industry == ""ENGY_offc_off"""
RET_stor_ret,REGION,persons,10000,RET_stor_ret,"persons.split_industry == ""RET_stor_ret"""
MFG_hvtw_li,REGION,persons,10000,MFG_hvtw_li,"persons.split_industry == ""MFG_hvtw_li"""
GOV_offc_off,REGION,persons,10000,GOV_offc_off,"persons.split_industry == ""GOV_offc_off"""
RET_auto_ret,REGION,persons,10000,RET_auto_ret,"persons.split_industry == ""RET_auto_ret"""
MFG_htec_hi,REGION,persons,10000,MFG_htec_hi,"persons.split_industry == ""MFG_htec_hi"""
SERV_home_xxx,REGION,persons,10000,SERV_home_xxx,"persons.split_industry == ""SERV_home_xxx"""
MFG_hvtw_hi,REGION,persons,10000,MFG_hvtw_hi,"persons.split_industry == ""MFG_hvtw_hi"""
HLTH_othr_off_li,REGION,persons,10000,HLTH_othr_off_li,"persons.split_industry == ""HLTH_othr_off_li"""
ENGY_ngas_hi,REGION,persons,10000,ENGY_ngas_hi,"persons.split_industry == ""ENGY_ngas_hi"""
ENT_ent_ret,REGION,persons,10000,ENT_ent_ret,"persons.split_industry == ""ENT_ent_ret"""
MFG_lvtw_hi,REGION,persons,10000,MFG_lvtw_hi,"persons.split_industry == ""MFG_lvtw_hi"""
MFG_htec_li,REGION,persons,10000,MFG_htec_li,"persons.split_industry == ""MFG_htec_li"""
UTL_othr_off,REGION,persons,10000,UTL_othr_off,"persons.split_industry == ""UTL_othr_off"""
HIED_hied_off_inst,REGION,persons,10000,HIED_hied_off_inst,"persons.split_industry == ""HIED_hied_off_inst"""
CNST_offc_off,REGION,persons,10000,CNST_offc_off,"persons.split_industry == ""CNST_offc_off"""
FIRE_real_off,REGION,persons,10000,FIRE_real_off,"persons.split_industry == ""FIRE_real_off"""
HLTH_care_inst,REGION,persons,10000,HLTH_care_inst,"persons.split_industry == ""HLTH_care_inst"""
CNST_othr_xxx,REGION,persons,10000,CNST_othr_xxx,"persons.split_industry == ""CNST_othr_xxx"""
SERV_nonp_off_inst,REGION,persons,10000,SERV_nonp_off_inst,"persons.split_industry == ""SERV_nonp_off_inst"""
UTL_othr_off_li,REGION,persons,10000,UTL_othr_off_li,"persons.split_industry == ""UTL_othr_off_li"""
TRNS_trns_ware,REGION,persons,10000,TRNS_trns_ware,"persons.split_industry == ""TRNS_trns_ware"""
SERV_bus_off,REGION,persons,10000,SERV_bus_off,"persons.split_industry == ""SERV_bus_off"""
MFG_offc_off,REGION,persons,10000,MFG_offc_off,"persons.split_industry == ""MFG_offc_off"""
SERV_tech_off,REGION,persons,10000,SERV_tech_off,"persons.split_industry == ""SERV_tech_off"""
CNST_res_xxx,REGION,persons,10000,CNST_res_xxx,"persons.split_industry == ""CNST_res_xxx"""
K12_k12_k12,REGION,persons,10000,K12_k12_k12,"persons.split_industry == ""K12_k12_k12"""
WHSL_offc_off,REGION,persons,10000,WHSL_offc_off,"persons.split_industry == ""WHSL_offc_off"""
CNST_main_xxx,REGION,persons,10000,CNST_main_xxx,"persons.split_industry == ""CNST_main_xxx"""
K12_k12_off,REGION,persons,10000,K12_k12_off,"persons.split_industry == ""K12_k12_off"""
RES_offc_off,REGION,persons,10000,RES_offc_off,"persons.split_industry == ""RES_offc_off"""
TRNS_trns_off,REGION,persons,10000,TRNS_trns_off,"persons.split_industry == ""TRNS_trns_off"""
HOSP_eat_ret_acc,REGION,persons,10000,HOSP_eat_ret_acc,"persons.split_industry == ""HOSP_eat_ret_acc"""
MFG_food_li,REGION,persons,10000,MFG_food_li,"persons.split_industry == ""MFG_food_li"""
INFO_info_off,REGION,persons,10000,INFO_info_off,"persons.split_industry == ""INFO_info_off"""
MFG_wdppr_hi,REGION,persons,10000,MFG_wdppr_hi,"persons.split_industry == ""MFG_wdppr_hi"""
SERV_site_li,REGION,persons,10000,SERV_site_li,"persons.split_industry == ""SERV_site_li"""
WHSL_whsl_ware,REGION,persons,10000,WHSL_whsl_ware,"persons.split_industry == ""WHSL_whsl_ware"""
MFG_food_hi,REGION,persons,10000,MFG_food_hi,"persons.split_industry == ""MFG_food_hi"""
CNST_nres_xxx,REGION,persons,10000,CNST_nres_xxx,"persons.split_industry == ""CNST_nres_xxx"""
HH0to8k1to2,AZONE,households,5000,HH0to8k1to2,"households.Category == ""HH0to8k1to2"""
HH0to8k3plus,AZONE,households,5000,HH0to8k3plus,"households.Category == ""HH0to8k3plus"""
HH106kUp1to2,AZONE,households,5000,HH106kUp1to2,"households.Category == ""HH106kUp1to2"""
HH106kUp3plus,AZONE,households,5000,HH106kUp3plus,"households.Category == ""HH106kUp3plus"""
HH15to23k1to2,AZONE,households,5000,HH15to23k1to2,"households.Category == ""HH15to23k1to2"""
HH15to23k3plus,AZONE,households,5000,HH15to23k3plus,"households.Category == ""HH15to23k3plus"""
HH23to32k1to2,AZONE,households,5000,HH23to32k1to2,"households.Category == ""HH23to32k1to2"""
HH23to32k3plus,AZONE,households,5000,HH23to32k3plus,"households.Category == ""HH23to32k3plus"""
HH32to46k1to2,AZONE,households,5000,HH32to46k1to2,"households.Category == ""HH32to46k1to2"""
HH32to46k3plus,AZONE,households,5000,HH32to46k3plus,"households.Category == ""HH32to46k3plus"""
HH46to61k1to2,AZONE,households,5000,HH46to61k1to2,"households.Category == ""HH46to61k1to2"""
HH46to61k3plus,AZONE,households,5000,HH46to61k3plus,"households.Category == ""HH46to61k3plus"""
HH61to76k1to2,AZONE,households,5000,HH61to76k1to2,"households.Category == ""HH61to76k1to2"""
HH61to76k3plus,AZONE,households,5000,HH61to76k3plus,"households.Category == ""HH61to76k3plus"""
HH76to106k1to2,AZONE,households,5000,HH76to106k1to2,"households.Category == ""HH76to106k1to2"""
HH76to106k3plus,AZONE,households,5000,HH76to106k3plus,"households.Category == ""HH76to106k3plus"""
HH8to15k1to2,AZONE,households,5000,HH8to15k1to2,"households.Category == ""HH8to15k1to2"""
HH8to15k3plus,AZONE,households,5000,HH8to15k3plus,"households.Category == ""HH8to15k3plus"""
A1_Mgmt_Bus,AZONE,persons,10000,A1-Mgmt Bus,"persons.occupationLabel == ""A1-Mgmt Bus"""
B1_Prof_Specialty,AZONE,persons,10000,B1-Prof Specialty,"persons.occupationLabel == ""B1-Prof Specialty"""
B2_Education,AZONE,persons,10000,B2-Education,"persons.occupationLabel == ""B2-Education"""
B3_Health,AZONE,persons,10000,B3-Health,"persons.occupationLabel == ""B3-Health"""
B4_Technical_Unskilled,AZONE,persons,10000,B4-Technical Unskilled,"persons.occupationLabel == ""B4-Technical Unskilled"""
C1_Sales_Clerical_Professionals,AZONE,persons,10000,C1-Sales Clerical Professionals,"persons.occupationLabel == ""C1-Sales Clerical Professionals"""
C2_Sales_Service,AZONE,persons,10000,C2-Sales Service,"persons.occupationLabel == ""C2-Sales Service"""
C3_Clerical,AZONE,persons,10000,C3-Clerical,"persons.occupationLabel == ""C3-Clerical"""
C4_Sales_Clerical_Unskilled,AZONE,persons,10000,C4-Sales Clerical Unskilled,"persons.occupationLabel == ""C4-Sales Clerical Unskilled"""
D1_Production_Specialists,AZONE,persons,10000,D1-Production Specialists,"persons.occupationLabel == ""D1-Production Specialists"""
D2_MaintConstRepair_Specialists,AZONE,persons,10000,D2-MaintConstRepair Specialists,"persons.occupationLabel == ""D2-MaintConstRepair Specialists"""
D3_ProtectTrans_Specialists,AZONE,persons,10000,D3-ProtectTrans Specialists,"persons.occupationLabel == ""D3-ProtectTrans Specialists"""
D4_Blue_Collar_Unskilled,AZONE,persons,10000,D4-Blue Collar Unskilled,"persons.occupationLabel == ""D4-Blue Collar Unskilled"""
